year,month,flow
2001,3,153.161955880269
2001,4,101.823494928327
2001,5,54.7833447445791
2001,6,57.5648723051578
2001,7,24.5979714492376
2001,8,10.2161966860323
2001,9,23.4108734026188
2001,10,10.8930100087341
2001,11,9.50162850873354
2001,12,16.2900466567983
2002,1,19.2779681148431
2002,2,26.4563506290073
2002,3,56.8168431285137
2002,4,56.4191514285468
2002,5,67.0804656770615
2002,6,48.1433052757955
2002,7,19.5195815951098
2002,8,15.5068349383349
2002,9,13.5260004506727
2002,10,27.7593114545653
2002,11,57.6755462239152
2002,12,69.9694897516523
2003,1,44.49174786231
2003,2,48.6977050993553
2003,3,161.124663637717
2003,4,73.7327707923971
2003,5,68.8000364753108
2003,6,49.2266962075521
2003,7,20.6492183495022
2003,8,62.4141210152029
2003,9,118.719661400582
2003,10,81.8994090708369
2003,11,61.9798601509723
2003,12,86.3818486123827
2004,1,43.0460517157929
2004,2,42.3934274262796
2004,3,94.7127072065955
2004,4,101.420324748115
2004,5,63.4830135638759
2004,6,23.1568480173019
2004,7,21.6371643169676
2004,8,22.6127547489176
2004,9,75.1263740887259
2004,10,30.9192347797159
2004,11,33.6585625771024
2004,12,43.2884993907071
2005,1,55.895086178839
2005,2,73.484848348599
2005,3,105.906577856164
2005,4,175.240710571758
2005,5,48.6696955724287
2005,6,43.768415987057
2005,7,37.6283295685368
2005,8,25.2524385912684
2005,9,12.4184580289875
2005,10,213.884400963217
2005,11,103.418561500995
2005,12,67.275539980955
2006,1,130.039556052936
2006,2,72.1304266319703
2006,3,54.1438549949739
2006,4,52.4365709897092
2006,5,82.5088315941265
2006,6,82.5178933634878
2006,7,35.0275841538914
2006,8,27.1808445388017
2006,9,22.4457634492079
2006,10,59.0685814773556
2006,11,58.7993617712745
2006,12,44.1850297248067
2007,1,43.9810544631634
2007,2,35.3322277116536
2007,3,89.4925562124947
2007,4,176.561376103073
2007,5,60.184563752885
2007,6,34.82241052872
2007,7,43.9016822575299
2007,8,12.6101645616641
2007,9,12.1220562864278
2007,10,20.7698866743553
2007,11,24.6632221215439
2007,12,45.6579715254832
2008,1,44.6899334593851
2008,2,161.614104574694
2008,3,227.420293684544
2008,4,98.358928112922
2008,5,35.6260124805636
2008,6,61.1143470828772
2008,7,65.7100668644499
2008,8,27.2562817380488
2008,9,84.9246154064411
2008,10,39.3849997207891
2008,11,43.2047220389515
2008,12,89.5784417220914
2009,1,47.4970153390919
2009,2,50.5090581848328
2009,3,104.635287740075
2009,4,67.3128017096142
2009,5,58.8624430723122
2009,6,67.6252809605939
2009,7,108.851335899636
2009,8,37.4066477381633
2009,9,13.8975263823664
2009,10,39.2147565379122
2009,11,37.0528485522852
2009,12,53.8950572308504
2010,1,56.383714678033
2010,2,82.7783256104547
2010,3,180.740822683264
2010,4,43.6945820588412
2010,5,27.6997258416576
2010,6,24.0147810666039
2010,7,18.717711763219
2010,8,11.2782344619085
2010,9,18.4078190535031
2010,10,43.0688125892345
2010,11,48.8195942832089
2010,12,58.1931899390889
